idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
420,Alvarado ES,K,GE,11,-,5.5,0,5.5,0
420,Alvarado ES,K,GE,12,-,6,0,6,0
420,Alvarado ES,K,GE,13,-,4.5,0,4,0.5
420,Alvarado ES,K,GE,14,-,3.5,0,3.5,0
420,Alvarado ES,K,GE,15,-,2,0,2,0
420,Alvarado ES,K,GE,16,-,2.5,0,2.5,0
420,Alvarado ES,K,GE,17,-,1.5,0,1.5,0
420,Alvarado ES,K,GE,18,-,1,0,1,0
420,Alvarado ES,K,GE,19,-,3,0,3,0
420,Alvarado ES,K,GE,20,-,2.5,0,2.5,0
420,Alvarado ES,K,GE,21,-,1,0,1,0
420,Alvarado ES,K,GE,22,-,1,0,1,0
420,Alvarado ES,K,GE,23,-,2,0,2,0
420,Alvarado ES,K,GE,24,-,1,0,1,0
420,Alvarado ES,K,GE,26,-,1,0,1,0
420,Alvarado ES,K,GE,27,-,1,0,1,0
420,Alvarado ES,K,GE,33,-,1,0,1,0
420,Alvarado ES,K,GE,1,AA;,20.5,10,0,10.5
420,Alvarado ES,K,GE,2,AA;,15,6,2.5,6.5
420,Alvarado ES,K,GE,3,AA;,8.5,2,3,3.5
420,Alvarado ES,K,GE,4,AA;,5,1.5,2.5,1
420,Alvarado ES,K,GE,5,AA;,2.5,0,2,0.5
420,Alvarado ES,K,GE,6,AA;,1.5,0.5,0.5,0.5
420,Alvarado ES,K,GE,7,AA;,1,0,1,0
420,Alvarado ES,K,GE,9,AA;,1,0,1,0
420,Alvarado ES,K,GE,10,AA;,1,0,1,0
420,Alvarado ES,K,GE,12,AA;,2,0,2,0
420,Alvarado ES,K,GE,17,AA;,1,0,1,0
420,Alvarado ES,K,GE,1,AA;AAP;,3,3,0,0
420,Alvarado ES,K,GE,2,AA;AAP;,2,2,0,0
420,Alvarado ES,K,GE,1,CT1;,5.5,5.5,0,0
420,Alvarado ES,K,GE,2,CT1;,9.5,3.5,6,0
420,Alvarado ES,K,GE,3,CT1;,9,0,9,0
420,Alvarado ES,K,GE,4,CT1;,3,0,3,0
420,Alvarado ES,K,GE,5,CT1;,5,0,5,0
420,Alvarado ES,K,GE,6,CT1;,1.5,0,1.5,0
420,Alvarado ES,K,GE,7,CT1;,1.5,0,1.5,0
420,Alvarado ES,K,GE,8,CT1;,3,0,3,0
420,Alvarado ES,K,GE,9,CT1;,1,0,1,0
420,Alvarado ES,K,GE,11,CT1;,1,0,1,0
420,Alvarado ES,K,GE,13,CT1;,1,0,1,0
420,Alvarado ES,K,GE,1,CT1;S;,1,1,0,0
420,Alvarado ES,K,GE,2,CT1;S;,3.5,0,3.5,0
420,Alvarado ES,K,GE,1,S;,1.5,1.5,0,0
420,Alvarado ES,K,GE,2,S;,3,1,2,0
420,Alvarado ES,K,GE,4,S;,1,0,1,0
420,Alvarado ES,K,GE,1,S;AA;,1,1,0,0
420,Alvarado ES,K,GE,2,S;AA;,2.5,0,2.5,0
420,Alvarado ES,K,GE,3,S;AA;,1.5,0,1.5,0
420,Alvarado ES,K,GE,1,S;AA;AAP;,1,1,0,0
420,Alvarado ES,K,GE,2,S;AA;AAP;,1,0,1,0
420,Alvarado ES,1,GE,1,-,6.5,0,0,6.5
